project_id,verdict,n_delivery_files,n_evaluations,matched_app_file,app_status,terminated,app_fte,app_months,app_pm,n_app_repos,ks_per_pm,scope_flag,repo_url,planned_pm_census,commit_source,equivalent_sloc
nftaa,DELIVERED,3,2,nftaa.md,,,2.0,6.0,12.0,3,,,https://github.com/decenzio/nftaa,12.00,cutoff,
openbrush,DELIVERED,3,3,openbrush.md,,,2.5,1.61,4.03,3,4.74,,https://github.com/727-Ventures/openbrush-contracts,,cutoff,19.121
pallet_supersig_decentration,DELIVERED,3,3,pallet_supersig.md,,,2.0,,,5,,,https://github.com/kabocha-network/pallet_supersig,,cutoff,2.2387
ParaSpell,DELIVERED,3,1,ParaSpell.md,,,1.0,2.0,2.0,3,,,https://github.com/dudo50/ParaSpell,2.00,,
Paraspell-followup,DELIVERED,3,1,ParaSpell_follow-up.md,,,2.0,6.0,12.0,5,0.1,verify-frag?,https://github.com/paraspell/sdk,2.00,commit,1.2009
ParaSpell-followup2,DELIVERED,3,1,ParaSpell_follow-up2.md,,,1.0,2.0,2.0,5,1.22,,https://github.com/paraspell/sdk,2.00,cutoff,2.4353
perun_app_channels,DELIVERED,3,2,perun_app_channels.md,,,2.0,6.0,12.0,11,0.17,,https://github.com/perun-network/perun-polkadot-pallet,9.06,commit,2.056
polkastats,DELIVERED,3,2,polkastats.md,,,,3.0,,10,,,https://github.com/Colm3na/polkastats-backend-v3,,cutoff,1.164
polk-auction,DELIVERED,3,3,polk-auction.md,,,1.7,,,3,,,https://github.com/CrommVardek/polk-auction-core,,cutoff,2.123
pontem-network,DELIVERED,3,3,pontem.md,,,,4.0,,8,,,https://github.com/pontem-network/sp-move,4.00,commit,1.9192
project_aurras_mvp_phase,DELIVERED,3,3,project_aurras_mvp_phase_2.md,,,4.0,,,11,,,https://github.com/HugoByte/aurras,,cutoff,11.153
quadratic-funding,DELIVERED,3,2,quadratic-funding.md,,,4.0,3.0,12.0,8,0.07,verify-frag?,https://github.com/OAK-Foundation/quadratic-funding-pallet,12.00,cutoff,0.8805
