network,proposal_type,post_id,title,requested_dot,proposer,planned_fte,planned_duration_months,team_size,documented_pm_explicit,sum_milestone_duration_months,n_github_repos,github_repos,url,status
polkadot,treasury_proposals,1658,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1657,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1656,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1655,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1654,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1653,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1652,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1651,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1650,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1649,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1648,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1647,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1646,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1645,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1644,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1643,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1642,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1641,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1640,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1639,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1638,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1637,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1636,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1635,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1634,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1633,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1632,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1631,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1630,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1629,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1628,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1627,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1626,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1625,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1624,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1623,,,,,,,,,,,,NO_DETAIL
