project_id,project_name,repo_url,resolved_commit,commit_source,effort_since,effort_until,actual_duration_months,duration_plausible,ksloc_code,ksloc_code_raw,generated_loc_excluded,generated_files_n,ksloc_all,pm_mid,pm_low,pm_high,active_dev_days,total_commits,distinct_authors,effort_reliable,top_langs,planned_fte,planned_duration_months,planned_pm,cost_usd,status,error_msg,new_sloc,adapted_sloc,adapted_fraction,cm_observed,aam,equivalent_sloc
identics_identity_indexer,identics_identity_indexer,https://github.com/vikiival/identics,5b410184662d322a5b98be779e3135a00d6cf3c3,cutoff,2024-10-28,2025-09-09,10.38,1,7.6680,7.6680,0,0,11.9390,0.9474,0.4347,7.0,18,272,1,0,"{""TypeScript"": 7405, ""YAML"": 3666, ""JSON"": 294, ""JavaScript"": 260, ""Markdown"": 194}",2,3,6.00,30000,OK,,7.5119,0.1561,0.0204,0.788,0.6916,7.6199
identity_directory,identity_directory,https://github.com/Shard-Labs/identity-directory,781b9f2a35b5ef69761afc89d48395c1250d0590,cutoff,2021-03-03,2021-10-14,7.39,1,1.6610,1.6610,0,0,4.7200,2.8421,1.2999,14.0,54,144,5,1,"{""Vuejs Component"": 2735, ""TypeScript"": 1558, ""Markdown"": 109, ""JSON"": 107, ""JavaScript"": 103}",3,,,34500,OK,,1.571,0.09,0.0542,0.9221,0.7855,1.6417
imbue_network,imbue_network,https://github.com/imbuenetwork/imbue,952d181881b114258d778935b0b1b286db1d3dc0,cutoff,2021-12-02,2022-03-23,3.65,1,4.3380,4.7920,534,5,5.0090,1.7368,0.6871,9.0,33,71,5,1,"{""Rust"": 4200, ""TOML"": 390, ""Markdown"": 164, ""JavaScript"": 97, ""Dockerfile"": 64}",0,6,0.00,27000,OK,,1.6932,2.6448,0.6097,0.8278,0.7195,3.596
infimum,infimum,https://github.com/rhysbalevicius/infimum,1f22ce36f370b4111075877356b8058835d05ba7,cutoff,2023-09-01,2024-12-09,15.28,1,49.4250,49.4250,0,0,56.8820,4.2105,1.5581,13.0,80,141,1,0,"{""Rust"": 46518, ""JSON"": 6935, ""Circom"": 2178, ""TypeScript"": 713, ""Markdown"": 193}",0,6,0.00,27000,OK,,49.425,0.0,0.0,0.0,0.0554,49.425
ink-analyzer,ink-analyzer,https://github.com/ink-analyzer/ink-analyzer,6e2488408f82e70a5794c2cf2b45dc231e8d7b90,cutoff,2023-03-16,2023-08-04,4.63,1,20.8770,21.2840,407,1,21.5220,3.0,1.7533,6.0,57,237,1,0,"{""Rust"": 20877, ""Markdown"": 315, ""YAML"": 211, ""TOML"": 104, ""INI"": 11}",1,,,30000,OK,,20.877,0.0,0.0,0.0,0.0554,20.877
ink-analyzer-phase,ink-analyzer-phase,https://github.com/ink-analyzer/ink-analyzer,9d0122863b9060234299e9ac6fc633ec82aa6c4d,cutoff,2023-03-16,2024-02-04,10.68,1,38.8910,39.3190,428,1,39.6290,7.0526,3.5711,13.0,134,425,2,1,"{""Rust"": 38891, ""Markdown"": 399, ""YAML"": 213, ""TOML"": 110, ""INI"": 12}",1,,,30000,OK,,38.891,0.0,0.0,0.0,0.0554,38.891
ink-boxes,ink-boxes,https://github.com/nerdsince98/ink-boxes,a31e714b6fd04e60b04c66189360d77d64108029,cutoff,2022-11-09,2022-11-11,0.07,1,32.2170,32.7720,555,6,77.7520,0.1579,0.0758,1.0,3,12,1,0,"{""JSON"": 44483, ""Rust"": 30254, ""TypeScript"": 1958, ""TOML"": 540, ""Markdown"": 366}",,,,5000,OK,,31.3718,0.8452,0.0262,0.0141,0.067,31.4284
ink-explorer,ink-explorer,https://github.com/blockcoders/ink-substrate-explorer-api,973488b773b9bfade66ee1c1a4aa20e38bf9fcac,cutoff,2022-08-02,2022-11-18,3.55,1,3.4250,3.4250,74,1,12.0000,2.3158,0.9912,8.0,44,103,4,1,"{""YAML"": 6635, ""TypeScript"": 3390, ""Markdown"": 1687, ""JSON"": 219, ""JavaScript"": 35}",3,6,18.00,64000,OK,,2.984,0.441,0.1288,0.7127,0.6389,3.2658
ink-pallet-benchmarking,ink-pallet-benchmarking,https://github.com/Nikhil-Desai-Talentica/substrate-node-template-benchmarking,17be56bb0b3d3e209c97877854b7c2b8ed103513,cutoff,2023-02-16,2023-02-16,0.0,0,1.4180,1.4180,0,0,2.1590,0.0,0.0,0.0,0,0,0,0,"{""Rust"": 1374, ""Markdown"": 332, ""TOML"": 228, ""YAML"": 82, ""JSON"": 62}",1,,,10000,OK,,0.0,1.418,1.0,0.0,0.0554,0.0786
ink-playground,ink-playground,https://github.com/Zeeve-App/ink-playground,5bb6b61e067ea1b9ce17d099d994993e891437c1,commit,2021-09-02,2024-04-19,31.54,0,7.4200,8.0300,895,4,9.0580,10.7368,6.2782,45.0,204,1407,12,1,"{""TypeScript"": 3405, ""Rust"": 3299, ""JavaScript"": 587, ""JSON"": 435, ""YAML"": 351}",3,,,24000,OK,,7.42,0.0,0.0,0.0,0.0554,7.42
inkscope-fuzzer,inkscope-fuzzer,https://github.com/inkscopexyz/inkscope-fuzzer,b08eee70a3aaec656a6ed4a09e340fa99d53ce1a,cutoff,2023-12-13,2024-05-17,5.12,1,3.5690,3.5690,0,0,4.3660,0.6842,0.1748,6.0,13,16,2,1,"{""Rust"": 3544, ""Markdown"": 310, ""TOML"": 299, ""YAML"": 170, ""Python"": 25}",1.5,3,4.50,30000,OK,,3.5249,0.0441,0.0124,1.0,0.84,3.5619
ink-smart-contract-wizard,ink-smart-contract-wizard,https://github.com/avirajkhare00/ink-wizard,b8be74a53122294e3a87df8300f84a9e00e90555,cutoff,2023-01-05,2023-01-16,0.36,1,0.4250,0.4250,0,0,0.9230,0.3158,0.1279,1.0,6,20,1,0,"{""Text"": 421, ""Python"": 416, ""Markdown"": 26, ""YAML"": 25, ""TOML"": 19}",1,2,2.00,100000,OK,,0.425,0.0,0.0,0.0,0.0554,0.425
Intersetellar-network-WP2,Intersetellar-network-WP2,https://github.com/Interstellar-Network/lib_circuits,66d1a4ab44c2cf98030d95492f71cc845bd441b7,cutoff,2022-03-10,2023-08-29,17.64,1,3.0560,3.0560,29,1,5.7410,1.2632,0.4112,8.0,24,40,2,1,"{""Verilog-SystemVerilog"": 1895, ""Rust"": 1740, ""C++"": 1012, ""CMake"": 442, ""C/C++ Header"": 300}",,,,,OK,,3.056,0.0,0.0,0.0,0.0554,3.056
Interstellar-Network,Interstellar-Network,https://github.com/Interstellar-Network/api_garble,2feaee1be19a15ac81151bddc0a3cf254c0e1933,cutoff,2022-03-10,2022-10-04,6.83,1,0.5970,0.5970,0,0,0.8630,0.6316,0.1772,4.0,12,19,1,0,"{""Rust"": 526, ""YAML"": 84, ""C++"": 58, ""Markdown"": 58, ""TOML"": 53}",11,5,55.00,47000,OK,,0.0,0.597,1.0,1.0,0.84,0.5015
Interstellar-Network-WP2,Interstellar-Network-WP2,https://github.com/Interstellar-Network/lib-garble-rs,a214782a7b3555d326ecb89e7d88994efe5768a0,cutoff,2022-11-14,2023-09-27,10.41,1,2.7650,2.7650,0,0,2.9620,2.0526,0.8339,4.0,39,91,1,0,"{""Rust"": 2765, ""YAML"": 97, ""TOML"": 60, ""Text"": 35, ""Markdown"": 5}",11,5,55.00,47000,OK,,2.765,0.0,0.0,0.0,0.0554,2.765
InvArch,InvArch,https://github.com/InvArch/InvArch-Pallet-Library,cddb100b6b180dfdae7ba3ab310af71f7b4059c1,cutoff,2021-08-29,2022-07-19,10.64,1,2.8100,2.8100,0,0,3.4200,5.8947,2.0859,23.0,112,260,5,1,"{""Rust"": 2810, ""Markdown"": 354, ""TOML"": 209, ""YAML"": 47}",2.5,,,25000,OK,,2.81,0.0,0.0,0.0,0.0554,2.81
invoice,invoice,https://github.com/gertt/Invoice,552c407cea71a5b2c09481d0a6a060f65e01b064,cutoff,2019-08-28,2023-01-20,40.77,0,1.6360,1.6360,0,0,2.8830,5.0,1.4285,59.0,95,123,30,1,"{""Rust"": 1592, ""XML"": 532, ""Markdown"": 363, ""TOML"": 219, ""JSON"": 62}",,3,,,OK,,1.636,0.0,0.0,0.0,0.0554,1.636
ipfs_utilities,ipfs_utilities,https://github.com/TDSoftware/substrate-ipfs,5e0a0744c7b510a68c899ba98d7e73f04f90e691,cutoff,2023-01-17,2023-04-19,3.02,1,372.2800,383.7620,11794,66,425.6340,2.1579,0.8875,7.0,41,96,4,1,"{""Rust"": 371159, ""JSON"": 29533, ""TOML"": 10080, ""Markdown"": 7414, ""WebAssembly"": 3717}",2,2,4.00,66000,OK,,20.4309,351.8491,0.9451,0.0268,0.0776,47.7228
iris,iris,https://github.com/iridium-labs/iris-docs,34728a14f1750c457b1da89a733cd747a4ba19e7,cutoff,2021-11-04,2022-04-01,4.86,1,0.0000,0.0000,0,0,0.3540,0.6842,0.1721,4.0,13,15,1,0,"{""Markdown"": 348, ""TOML"": 6}",1.5,,,22500,OK,,,,,,,
iris_followup,iris_followup,https://github.com/ideal-lab5/iris,ff95f2e811386f6231c441fafe3a1204ed82676b,cutoff,2022-06-09,2022-12-18,6.31,1,11.4650,11.7540,289,1,13.3400,3.5789,1.3347,7.0,68,125,1,0,"{""Rust"": 11413, ""TOML"": 853, ""Markdown"": 548, ""JSON"": 330, ""YAML"": 99}",2.5,9,22.50,47000,OK,,11.465,0.0,0.0,0.0,0.0554,11.465
iris_milestone-delivery,iris_milestone-delivery,https://github.com/iridium-labs/ui,4eddf19f80ff154ba0ab2ab7ad863126779069bf,cutoff,2021-08-28,2021-12-14,3.55,1,0.7030,0.7030,0,0,47.4520,0.7895,0.2174,5.0,15,18,1,0,"{""JSON"": 46568, ""JavaScript"": 703, ""CSS"": 120, ""Dockerfile"": 22, ""HTML"": 20}",1.5,,,22500,OK,,0.2503,0.4527,0.644,0.9193,0.7835,0.605
ismp-milestone-delivery,ismp-milestone-delivery,https://github.com/polytope-labs/ismp,da32de9b4550896fcca6dab59137dbeaae5fca13,cutoff,2023-05-24,2023-05-29,0.16,1,0.0000,0.0000,0,0,0.7820,0.0526,0.0132,1.0,1,1,1,0,"{""Markdown"": 780, ""SVG"": 2}",2,3,6.00,30000,OK,,,,,,,
ISO8583,ISO8583,https://github.com/adit313/ISO8583-Blockchain-Integration-Plan,14dc4d34183a857831ad5a0df512703ae2d660d3,head,2022-10-02,2022-10-08,0.2,1,0.0000,0.0000,0,0,0.1710,0.0526,0.0134,1.0,1,2,1,0,"{""Markdown"": 171}",1,4,4.00,28000,OK,,,,,,,
iso_8583_PoC,iso_8583_PoC,https://github.com/subclone/payment-processor,de62a9c391a98e1a2f94a44bca5e8300d6343b08,cutoff,2023-08-10,2024-03-22,7.39,1,3.7810,3.7810,0,0,5.8920,0.8947,0.2994,7.0,17,26,1,0,"{""Rust"": 2275, ""JavaScript"": 1197, ""CSS"": 676, ""YAML"": 668, ""Markdown"": 391}",1,4,4.00,28000,OK,,3.781,0.0,0.0,0.0,0.0554,3.781
Iunokit,Iunokit,https://github.com/Luno-lab/LunoKit,6862f28bd636f3e4b8a1e605d12615295bccb85e,cutoff,2025-04-17,2025-11-12,6.87,1,13.0910,13.2630,199,28,47.6180,2.5263,1.0555,6.0,48,160,2,1,"{""JSON"": 17101, ""YAML"": 15858, ""TypeScript"": 13036, ""CSS"": 825, ""SVG"": 380}",2,3,6.00,30000,OK,,11.9279,1.1631,0.0889,1.0,0.84,12.9049
java-client,java-client,https://github.com/emeraldpay/polkaj,cfca4c8aee1e693e5d483691b1fdaf3e401b64ce,cutoff,2020-04-20,2020-05-07,0.56,1,1.7880,1.7880,0,0,4.9890,0.6842,0.2211,2.0,13,23,1,0,"{""Groovy"": 2598, ""Java"": 1662, ""AsciiDoc"": 352, ""Gradle"": 145, ""Bourne Shell"": 126}",4.,15,60.00,75000,OK,,1.788,0.0,0.0,0.0,0.0554,1.788
java_client_mileston,java_client_mileston,https://github.com/emeraldpay/polkaj,95b5c7bb1d31ea17fc76c40f33c26b02a5550b25,cutoff,2020-04-20,2020-08-17,3.91,1,7.1730,7.1730,0,0,16.4280,3.1579,1.0894,7.0,60,137,3,1,"{""Java"": 6844, ""Groovy"": 6626, ""AsciiDoc"": 1312, ""Gradle"": 377, ""HTML"": 358}",4.,15,60.00,75000,OK,,7.173,0.0,0.0,0.0,0.0554,7.173
keysafe_network,keysafe_network,https://github.com/keysafe-protocol/keysafe-app,7c93f7a72b7a8661fc378d08adb0b00456b34ccc,cutoff,2021-11-29,2022-07-10,7.33,1,1.3520,1.3520,0,0,1.7850,1.9474,0.7882,8.0,37,77,3,1,"{""Rust"": 1350, ""TOML"": 164, ""make"": 110, ""Markdown"": 48, ""SQL"": 39}",3,8,24.00,27000,OK,,1.1085,0.2435,0.1801,1.0,0.84,1.313
Knowledge-Oriented-Framework,Knowledge-Oriented-Framework,https://github.com/mobr-ai/POnto,f618b934afbc3c92e54a9305dbe2b99976c4b320,cutoff,2023-02-09,2023-07-31,5.65,1,22.1260,22.1380,55104,113,180.9340,1.2105,0.3824,11.0,23,46,3,1,"{""CSS"": 118533, ""JavaScript"": 22126, ""HTML"": 20644, ""SCSS"": 9490, ""LESS"": 9490}",0.85,1,0.85,10000,OK,,22.126,0.0,0.0,0.0,0.0554,22.126
Kodadot_assethub_nft_indexer,Kodadot_assethub_nft_indexer,https://github.com/kodadot/stick,78f61d32f089f4906409152dd6002184ccc4b0f5,cutoff,2023-04-27,2024-02-18,9.76,1,8.1340,8.1340,0,0,24.1990,5.0,1.9848,21.0,95,401,4,1,"{""JSON"": 15511, ""TypeScript"": 7888, ""Markdown"": 244, ""JavaScript"": 243, ""GraphQL"": 150}",,,,,OK,,7.0183,1.1157,0.1372,0.8628,0.7439,7.8483
kodadot_atomic_swap_indexer,kodadot_atomic_swap_indexer,https://github.com/kodadot/stick,e8f46f4677b036b61a59cfa8bbdc90a788472a48,cutoff,2023-04-27,2024-07-24,14.91,1,8.7900,8.7900,0,0,25.2900,6.2105,2.454,29.0,118,504,5,1,"{""JSON"": 15880, ""TypeScript"": 8482, ""JavaScript"": 305, ""Markdown"": 260, ""GraphQL"": 198}",,,,,OK,,7.6544,1.1356,0.1292,0.9686,0.818,8.5833
konomi,konomi,https://github.com/konomi-network/cumulus,6635931263c463fdf1dfa74fe6d6102f5f261536,cutoff,2019-01-15,2021-06-17,29.04,0,22.9040,23.0360,132,2,27.1740,10.1053,3.0977,84.0,192,290,27,1,"{""Rust"": 22351, ""TOML"": 1638, ""JSON"": 1534, ""Markdown"": 492, ""YAML"": 464}",2,1.5,3.00,1,OK,,22.904,0.0,0.0,0.0,0.0554,22.904
KSM-embeddable-tip-or-donate-button,KSM-embeddable-tip-or-donate-button,https://github.com/Shard-Labs/kusama-tips-widget,e2e1629ba77449c4141d5a7c1374cbd3874ba623,cutoff,2020-09-28,2021-01-07,3.32,1,0.2030,0.2030,0,0,13.4090,1.7895,0.5411,8.0,34,67,2,1,"{""JSON"": 12513, ""Svelte"": 631, ""JavaScript"": 203, ""Markdown"": 34, ""HTML"": 17}",3,,,34500,OK,,0.1652,0.0378,0.1863,0.8158,0.7111,0.1921
kuma-wallet,kuma-wallet,https://github.com/blockcoders/kuma-wallet,76b8b4485d113c4f736476fa0a7e1534f2fa925a,cutoff,2023-01-17,2023-08-10,6.73,1,20.6120,20.6120,0,0,32.9740,3.7368,2.0488,11.0,71,258,3,1,"{""TypeScript"": 20496, ""JSON"": 11601, ""Markdown"": 494, ""CSS"": 117, ""JavaScript"": 116}",,,,,OK,,20.612,0.0,0.0,0.0,0.0554,20.612
kylin-network,kylin-network,https://github.com/Kylin-Network/kylin-node,ba009a7c5403475b96c95f84624593d3b685f2b9,cutoff,2020-11-18,2021-02-10,2.76,1,1.0950,1.0950,0,0,1.4430,0.5789,0.1779,7.0,11,25,3,1,"{""Rust"": 1040, ""TOML"": 151, ""YAML"": 79, ""Markdown"": 71, ""Bourne Shell"": 55}",3,2,6.00,1,OK,,0.0,1.095,1.0,0.4649,0.4394,0.4811
KZero,KZero,https://github.com/kzero-xyz/kzero,eadc7efa85a480b20a0456f7d14531ba2c241a33,cutoff,2025-02-10,2025-08-25,6.44,1,4.6630,4.6950,32,1,5.2770,0.0526,0.0132,1.0,1,1,1,0,"{""Rust"": 4616, ""TOML"": 433, ""Markdown"": 86, ""make"": 58, ""Bourne Shell"": 47}",,2,,50000,OK,,0.1282,4.5348,0.9725,0.839,0.7273,3.4264
lastic,lastic,https://github.com/LasticXYZ/squid-sdk,f5d011645adad502c6a3faf327b3a5e08a4289dc,cutoff,2024-02-03,2024-04-25,2.69,1,1.8510,1.8510,0,0,7.9470,0.5789,0.2534,2.0,11,41,1,0,"{""YAML"": 5950, ""TypeScript"": 1851, ""JSON"": 84, ""Markdown"": 50, ""INI"": 12}",,,,10000,OK,,0.106,1.745,0.9427,1.0,0.84,1.5718
lastic-price-simulator-milestione,lastic-price-simulator-milestione,https://github.com/LasticXYZ/price-simulation,78a08a98b46b722ce34e1d8c5bef7895d1a737f5,cutoff,2023-10-30,2023-12-20,1.68,1,0.4160,0.4160,0,0,0.6050,0.6842,0.3784,5.0,13,50,2,1,"{""Python"": 416, ""Markdown"": 86, ""Text"": 51, ""JSON"": 33, ""YAML"": 13}",1.5,,,6000,OK,,0.3822,0.0338,0.0813,1.0,0.84,0.4106
LedgerAssetsApp_G6_1,LedgerAssetsApp_G6_1,https://github.com/Zondax/ledger-statemint,1edaa1b776088d699890857395aab698a7003d05,cutoff,2022-02-22,2022-08-15,5.72,1,10.2030,10.2030,0,0,25.6820,0.5789,0.2447,7.0,11,65,4,1,"{""JSON"": 13312, ""C"": 6825, ""C/C++ Header"": 1943, ""Markdown"": 1250, ""C++"": 564}",,,,,OK,,5.6997,4.5033,0.4414,1.0,0.84,9.4825
ledgerUpgrade,ledgerUpgrade,https://github.com/Zondax/ledger-polkadot,33e7840e830c937e88f7f88510cd4454823ac0ee,cutoff,2024-05-21,2025-05-21,11.99,1,5.9960,5.9960,0,0,134.8880,1.2105,0.3234,10.0,23,32,6,1,"{""JSON"": 127337, ""C"": 3444, ""C/C++ Header"": 980, ""C++"": 846, ""TypeScript"": 574}",1.5,,,35,OK,,0.725,5.271,0.8791,0.4996,0.468,3.192
liberland,liberland,https://github.com/liberland/liberland_substrate,65d9ba170a7204a623dd7f2c710fabe09f024a5a,cutoff,2019-01-15,2023-06-05,52.63,0,64.4900,72.1010,7670,113,80.8010,34.3158,9.4968,378.0,652,778,105,1,"{""Rust"": 62189, ""TOML"": 5514, ""YAML"": 4811, ""JSON"": 3020, ""Markdown"": 1754}",3,5,15.00,50,OK,,64.49,0.0,0.0,0.0,0.0554,64.49
Libra,Libra,https://github.com/atscaletech/libra,367699b1bb13d888b3f4ae8c9d5586ce4ee1eda6,cutoff,2022-01-10,2022-08-09,6.93,1,5.6620,5.6620,0,0,6.7140,0.7895,0.306,7.0,15,32,3,1,"{""Rust"": 5618, ""Markdown"": 466, ""TOML"": 462, ""JSON"": 62, ""YAML"": 48}",1.5,,,16000,OK,,4.5623,1.0997,0.1942,0.9513,0.8059,5.4485
LightSpell,LightSpell,https://github.com/paraspell/xcm-api,,,,,,,,,,,,,,,,,,,,1,5,5.00,22,ERROR,"git clone failed: fatal: could not read Username for 'https://github.com': No such device or address
",,,,,,
LiisaPortfolioTracker,LiisaPortfolioTracker,https://github.com/LiisaNFT/PolkadotNFTPortfolioTracker,91b3b01e664a48f2548cb00e1faed92a40470163,cutoff,2023-10-04,2024-05-16,7.39,1,74.2560,74.2560,31,1,126.7270,2.2105,0.9744,8.0,42,129,1,0,"{""TypeScript"": 71479, ""JSON"": 51235, ""JavaScript"": 2777, ""CSS"": 463, ""GraphQL"": 413}",2.25,5,11.25,30000,OK,,74.256,0.0,0.0,0.0,0.0554,74.256
lip_payments,lip_payments,https://github.com/virto-network/virto-node,73c2af347d320b5abd9e377867106d16314b1472,commit,2020-01-13,2021-12-13,23.0,1,2.5340,2.5340,0,0,3.3630,5.5789,1.9202,30.0,106,168,6,1,"{""Rust"": 2534, ""TOML"": 305, ""YAML"": 181, ""Markdown"": 137, ""make"": 74}",,,,,OK,,2.534,0.0,0.0,0.0,0.0554,2.534
load_balanced_endpoints_operations,load_balanced_endpoints_operations,https://github.com/geometry-labs/substrate-meta,e72efba8d47bd70b269d326ea34c9a7a5cdbb32b,cutoff,2021-10-29,2022-05-31,7.03,1,0.0420,0.0420,0,0,0.2990,0.7895,0.2474,9.0,15,26,2,1,"{""YAML"": 153, ""Markdown"": 60, ""Bourne Shell"": 42, ""JSON"": 36, ""make"": 8}",,,,,OK,,,,,,,
logion_wallet,logion_wallet,https://github.com/logion-network/logion-wallet,32617dd228335e5ef5a47d0d5cfb8e7c3f3e7556,cutoff,2021-04-27,2022-06-13,13.53,1,27.7850,27.7850,0,0,33.5420,13.8947,6.1189,30.0,264,611,3,1,"{""TypeScript"": 27514, ""CSS"": 2950, ""SVG"": 2441, ""Bourne Shell"": 212, ""JSON"": 207}",2,10,20.00,42,OK,,27.0851,0.6999,0.0252,0.967,0.8169,27.6568
lunie-governance_milestones-1,lunie-governance_milestones-1,https://github.com/luniehq/lunie,d0d9fec4c3ab8f2cea7aa58ecf02125e7d57b936,cutoff,2017-01-21,2020-09-22,44.02,0,30.5300,30.5300,17,2,57.6250,106.2105,51.9971,216.0,2018,9047,34,1,"{""JavaScript"": 30115, ""Vuejs Component"": 18831, ""Markdown"": 4141, ""CSS"": 1147, ""YAML"": 897}",5.5,,,3,OK,,30.186,0.344,0.0113,0.9598,0.8119,30.4653
lunokit,lunokit,https://github.com/Luno-lab/LunoKit,be5c713a42e099a6825e73c94c02c01de1a78a41,cutoff,2025-04-17,2025-10-01,5.49,1,12.3230,12.4950,199,28,46.8920,2.4737,1.0423,5.0,47,159,2,1,"{""JSON"": 17088, ""YAML"": 15791, ""TypeScript"": 12268, ""CSS"": 862, ""Markdown"": 395}",2,3,6.00,30000,OK,,11.2093,1.1137,0.0904,1.0,0.84,12.1448
MangoBOX,MangoBOX,https://github.com/Mangoboxlabs/Mangoboxink,37b4d065b767a4f90c75b134fe7081cc1ed5bd96,cutoff,2022-10-13,2022-10-27,0.46,1,48.5070,48.7800,273,1,96.7470,0.8421,0.2643,2.0,16,24,2,1,"{""Rust"": 46330, ""JSON"": 40778, ""Vuejs Component"": 4058, ""JavaScript"": 1980, ""TOML"": 1524}",4,2,8.00,40000,OK,,1.1151,47.3919,0.977,0.9955,0.8369,40.7764
MangoSale,MangoSale,https://github.com/Mangoboxlabs/MangoSale,ac0b9cca21a6c92449e4aa86f50182e9ba9d68c2,cutoff,2022-12-27,2023-03-20,2.73,1,47.0930,47.3660,273,1,92.2400,1.2632,0.4519,5.0,24,42,2,1,"{""Rust"": 44144, ""JSON"": 37305, ""Vuejs Component"": 4723, ""JavaScript"": 2752, ""Markdown"": 1402}",4,2,8.00,26000,OK,,47.093,0.0,0.0,0.0,0.0554,47.093
manta_network,manta_network,https://github.com/Manta-Network/pallet-manta-dap,4c2da4562af3eb9093f65ac1fc05c7528876b64a,head,2021-02-26,2022-03-02,12.12,1,1.3010,1.8150,514,3,1.4680,1.8947,0.63,12.0,36,63,7,1,"{""Rust"": 1280, ""TOML"": 64, ""Markdown"": 42, ""YAML"": 41, ""Bourne Shell"": 21}",3,,,1,OK,,0.6391,0.6619,0.5088,1.0,0.84,1.1951
massbit_route,massbit_route,https://github.com/massbitprotocol/massbitroute,736579909aefa80941e69e2550c76ba91e2daace,cutoff,2021-10-04,2022-09-23,11.63,1,16.9150,16.9150,0,0,17.9560,7.2105,3.8106,18.0,137,845,5,1,"{""Lua"": 15714, ""Bourne Shell"": 908, ""Markdown"": 799, ""Bourne Again Shell"": 293, ""YAML"": 227}",6,2,12.00,50000,OK,,,,,,,
melodot,melodot,https://github.com/ZeroDAO/melodot,6a99ba5981d055dcbc487d865fffb5be06956e9b,cutoff,2023-06-11,2023-12-23,6.41,1,14.0580,46.6340,32690,6,16.2620,3.2632,1.4419,8.0,62,139,2,1,"{""Rust"": 13869, ""TOML"": 1095, ""Markdown"": 852, ""YAML"": 161, ""Bourne Shell"": 159}",1.5,4.5,6.75,28000,OK,,13.3667,0.6913,0.0492,0.9931,0.8352,13.944
MeProtocol,MeProtocol,https://github.com/Me-Protocol/rusty-protocol-v0.1,44e8efabd4b63bd100004a136e9c6e780c4e70cf,cutoff,2023-04-07,2024-06-05,13.96,1,20.7080,30.1140,9406,70,22.3330,2.5263,1.018,12.0,48,113,3,1,"{""TypeScript"": 14355, ""Rust"": 6353, ""Markdown"": 793, ""TOML"": 648, ""JSON"": 107}",2600,5,13000.00,29600,OK,,20.708,0.0,0.0,0.0,0.0554,20.708
merkle_tree,merkle_tree,https://github.com/frisitano/merkle-tree-db,84ee5bfecb64d95ae4750032e840495c08cdc6d8,cutoff,2023-02-18,2023-03-05,0.49,1,1.8210,1.8210,0,0,2.3040,0.5789,0.1965,4.0,11,22,3,1,"{""Rust"": 1821, ""Markdown"": 379, ""YAML"": 59, ""TOML"": 40, ""Dockerfile"": 5}",2,,,25000,OK,,0.985,0.836,0.4591,1.0,0.84,1.6872
migrationEase,migrationEase,https://github.com/Zondax/polkadot-web-migration,93f1ab8a6d28403d1aa06d63188c5d54f4b9865c,cutoff,2024-12-19,2025-07-18,6.93,1,42.5910,42.5910,0,0,49.5750,0.2105,0.0658,2.0,4,5,2,0,"{""TypeScript"": 42585, ""YAML"": 4867, ""Markdown"": 1282, ""JSON"": 664, ""CSS"": 75}",2.7,,,87,OK,,41.8846,0.7064,0.0166,1.0,0.84,42.478
mobile_dapp_connection,mobile_dapp_connection,https://github.com/tesseract-one/Tesseract.rs,b4856f641bde4749129c4b48804c5077381309b0,cutoff,2019-10-11,2022-12-27,38.53,0,1.7590,1.7590,0,0,2.0910,0.8421,0.3617,9.0,16,53,3,1,"{""Rust"": 1759, ""Markdown"": 250, ""TOML"": 80, ""SVG"": 2}",0.83,2,1.66,25000,OK,,1.759,0.0,0.0,0.0,0.0554,1.759
mobile-game-framework-millestone,mobile-game-framework-millestone,https://github.com/creator-rs/creator,ece9d1f84816ef7420533fe35167cb1a5baca6c5,commit,2020-09-01,2020-09-01,0.0,0,0.0660,0.0660,0,0,0.3580,0.0,0.0,0.0,0,0,0,0,"{""XML"": 110, ""JSON"": 104, ""Swift"": 47, ""Markdown"": 28, ""Gradle"": 22}",2.0,,,2,OK,,0.0,0.066,1.0,0.0,0.0554,0.0037
multisignature_management_tool,multisignature_management_tool,https://github.com/itering/subscan-multisig-ui,30f83b4a4d9f0f060c46db103cee3125e8f0e487,commit,2020-11-18,2020-12-04,0.53,1,2.4460,2.4460,0,0,8.6150,0.5789,0.2845,3.0,11,32,2,1,"{""Vuejs Component"": 4747, ""JavaScript"": 2446, ""SVG"": 675, ""JSON"": 402, ""SCSS"": 208}",,,,,OK,,0.6002,1.8458,0.7546,0.6046,0.5548,1.6243
Multix-a-simple-UI-for-complex-multisigs,Multix-a-simple-UI-for-complex-multisigs,https://github.com/ChainSafe/Multix,81889ed1e986e34e2c534476e9af7c069e2ba99b,cutoff,2023-01-04,2023-02-03,0.99,1,24.1640,29.3740,5210,14,31.6260,0.7895,0.2867,1.0,15,26,1,0,"{""TypeScript"": 24133, ""JSON"": 6997, ""Markdown"": 210, ""YAML"": 73, ""GraphQL"": 57}",1.5,1,1.50,30000,OK,,23.3298,0.8342,0.0345,0.9172,0.782,23.9822
myriad_social,myriad_social,https://github.com/myriadsocial/myriad-node-parachain,3ab2927ad397fd14afd8d6280a65cc25331751fd,cutoff,2020-07-31,2024-09-20,49.67,0,5.4610,5.6140,276,4,7.5670,3.1053,0.8721,35.0,59,89,14,1,"{""Rust"": 5365, ""JSON"": 1107, ""TOML"": 401, ""YAML"": 284, ""Markdown"": 222}",3,3,9.00,30000,OK,,3.8327,1.6283,0.2982,1.0,0.84,5.2005
